t,lum,lum-error
-38.575238,9.53E+42,7.91E+41
-34.634783,2.13E+43,1.29E+42
-31.482418,2.91E+43,1.59E+42
-20.843189,4.52E+43,1.85E+42
-12.962278,4.96E+43,1.62E+42
-10.20396,5.01E+43,1.62E+42
-6.2635043,5.02E+43,1.53E+42
0.4352698,4.91E+43,1.28E+42
5.1638162,4.78E+43,1.16E+42
174.20935,4.25E+42,3.19E+41
189.18308,3.62E+42,2.65E+41
204.9449,3.18E+42,2.51E+41
209.2794,3.08E+42,2.64E+41
213.6139,2.99E+42,2.55E+41
218.7365,2.88E+42,2.51E+41
226.22336,2.73E+42,2.41E+41
230.95191,2.64E+42,2.26E+41
234.89236,2.57E+42,2.16E+41
239.62091,2.47E+42,2.34E+41
250.65418,2.25E+42,2.13E+41
255.77678,2.16E+42,2.22E+41
259.71723,2.07E+42,2.09E+41
265.23387,1.96E+42,1.85E+41
278.63142,1.67E+42,1.88E+41
283.75401,1.56E+42,1.86E+41
288.08851,1.46E+42,1.89E+41
293.99919,1.35E+42,1.72E+41
306.60865,1.23E+42,1.69E+41
312.51933,1.27E+42,1.75E+41
